Vino_ID;fixed acidity;volatile acidity;residual sugar;chlorides;total sulfur dioxide;density;alcohol;quality
Vino_0033;7.4;0.25;2.05;0.05;100.0;0.992;10.8;6
Vino_0034;6.2;0.12;1.5;0.045;117.0;0.9939;9.0;6
Vino_0035;5.8;0.27;14.95;0.044;179.0;0.9962;10.2;5
Vino_0036;7.3;0.28;1.7;0.08;123.0;0.9905;12.8;5
Vino_0037;6.5;0.39;5.4;0.051;149.0;0.9934;10.0;5
Vino_0038;7.0;0.33;1.2;0.053;138.0;0.9906;11.2;6
Vino_0039;7.3;0.24;17.95;0.057;149.0;0.9999;8.6;5
Vino_0040;7.3;0.24;17.95;0.057;149.0;0.9999;8.6;5
Vino_0041;6.7;0.23;2.5;0.172;158.0;0.9937;9.4;6
Vino_0042;6.7;0.24;2.9;0.173;157.0;0.9937;9.4;6
Vino_0043;7.0;0.31;7.4;0.069;160.0;0.9954;9.8;6
Vino_0044;6.6;0.24;1.4;0.057;152.0;0.9934;9.5;6
Vino_0045;6.7;0.23;1.4;0.06;154.0;0.9934;9.5;6
Vino_0046;7.4;0.18;1.4;0.058;167.0;0.9931;10.0;7
Vino_0047;6.2;0.45;4.4;0.063;206.0;0.994;9.8;4
Vino_0048;6.2;0.46;4.4;0.066;207.0;0.9939;9.8;5
Vino_0049;7.0;0.31;7.4;0.069;160.0;0.9954;9.8;6
Vino_0050;6.9;0.19;5.0;0.067;150.0;0.995;9.8;5
Vino_0051;7.2;0.19;1.6;0.062;173.0;0.9917;11.7;6
Vino_0052;6.6;0.25;1.1;0.068;124.0;0.9914;11.0;7
Vino_0053;6.2;0.16;1.1;0.057;82.0;0.991;10.9;7
Vino_0054;6.4;0.18;1.0;0.045;108.0;0.9911;10.9;6
Vino_0055;6.8;0.2;0.9;0.147;132.0;0.993;9.1;6
Vino_0056;6.9;0.25;1.3;0.039;191.0;0.9908;11.0;6
Vino_0057;7.2;0.21;11.9;0.043;213.0;0.9962;9.6;6
Vino_0058;6.0;0.19;12.4;0.048;147.0;0.9972;8.9;6
Vino_0059;6.6;0.38;4.6;0.044;78.0;0.9931;10.2;6
Vino_0060;7.4;0.2;1.2;0.038;111.0;0.9926;9.9;6
Vino_0061;6.8;0.22;4.9;0.092;123.0;0.9951;8.6;6
Vino_0062;6.0;0.19;12.4;0.048;147.0;0.9972;8.9;6
Vino_0063;7.0;0.47;1.1;0.035;151.0;0.991;10.5;5
Vino_0064;6.6;0.38;4.6;0.044;78.0;0.9931;10.2;6
Vino_0065;7.2;0.24;1.4;0.038;122.0;0.9927;10.3;6
Vino_0066;6.2;0.35;1.2;0.064;120.0;0.9934;9.1;5
Vino_0067;6.4;0.26;6.4;0.04;124.0;0.9903;12.6;7
Vino_0068;6.7;0.25;1.2;0.041;174.0;0.992;9.8;5
Vino_0069;6.7;0.23;2.1;0.046;96.0;0.9926;10.7;8
Vino_0070;7.4;0.24;10.1;0.05;105.0;0.9962;9.5;5
Vino_0071;6.2;0.27;7.8;0.056;244.0;0.9956;9.0;6
Vino_0072;6.8;0.3;4.6;0.061;238.5;0.9958;9.5;5
Vino_0073;6.0;0.27;4.8;0.063;201.0;0.9964;10.0;5
Vino_0074;8.6;0.23;1.0;0.054;72.0;0.9941;9.1;6
Vino_0075;6.7;0.23;2.1;0.046;96.0;0.9926;10.7;8
Vino_0076;7.4;0.24;10.1;0.05;105.0;0.9962;9.5;5
Vino_0077;7.1;0.18;1.4;0.043;87.0;0.9898;12.7;7
Vino_0078;7.0;0.32;1.3;0.042;69.0;0.9912;12.0;7
Vino_0079;7.4;0.18;8.8;0.064;103.0;0.9961;9.3;5
Vino_0080;6.7;0.54;5.4;0.06;105.0;0.9949;9.0;5
Vino_0081;6.8;0.22;1.4;0.053;114.0;0.9929;10.6;6
Vino_0082;7.1;0.2;16.0;0.05;166.0;0.9985;9.2;6
Vino_0083;7.1;0.34;6.1;0.063;164.0;0.9946;10.0;5
Vino_0084;7.3;0.22;8.2;0.047;207.0;0.9966;9.5;6
Vino_0085;7.1;0.43;11.8;0.045;155.0;0.9974;8.7;5
Vino_0086;7.1;0.44;11.8;0.044;152.0;0.9975;8.7;6
Vino_0087;7.2;0.39;11.0;0.044;156.0;0.9974;8.7;6
Vino_0088;6.8;0.25;13.3;0.05;202.0;0.9972;9.7;6
Vino_0089;7.1;0.43;11.8;0.045;155.0;0.9974;8.7;5
Vino_0090;7.1;0.44;11.8;0.044;152.0;0.9975;8.7;6
Vino_0091;7.2;0.39;11.0;0.044;156.0;0.9974;8.7;6
Vino_0092;6.1;0.27;7.5;0.049;243.0;0.9957;9.0;5
Vino_0093;6.9;0.24;1.7;0.035;136.0;0.99;12.6;7
Vino_0094;6.9;0.21;1.8;0.034;136.0;0.9899;12.6;7
Vino_0095;7.5;0.17;1.7;0.04;148.0;0.9916;11.5;7
Vino_0096;7.1;0.26;12.4;0.044;240.0;0.9969;9.2;6
Vino_0097;6.0;0.34;15.9;0.046;164.0;0.9979;8.8;6
Vino_0098;8.6;0.265;1.2;0.034;80.0;0.9913;11.4;7
Vino_0099;9.8;0.36;10.5;0.038;83.0;0.9956;10.1;4
Vino_0100;6.0;0.34;15.9;0.046;164.0;0.9979;8.8;6
Vino_0101;7.4;0.25;13.5;0.06;192.0;0.9975;9.1;5
Vino_0102;7.1;0.12;9.6;0.054;162.0;0.9962;9.4;5
Vino_0103;6.0;0.21;12.1;0.05;164.0;0.997;9.4;5
Vino_0104;7.5;0.305;18.9;0.059;170.0;1.0;9.0;5
Vino_0105;7.4;0.25;13.5;0.06;192.0;0.9975;9.1;5
Vino_0106;7.3;0.13;14.4;0.051;109.0;0.9974;9.2;6
Vino_0107;7.1;0.12;9.6;0.054;162.0;0.9962;9.4;5
Vino_0108;7.1;0.23;16.5;0.04;171.0;0.999;9.1;6
Vino_0109;7.1;0.23;16.5;0.04;171.0;0.999;9.1;6
Vino_0110;6.9;0.33;1.3;0.051;187.0;0.9927;10.3;5
Vino_0111;6.5;0.17;8.5;0.082;163.0;0.9959;8.8;6
Vino_0112;7.2;0.27;18.75;0.052;255.0;1.0;8.9;5
Vino_0113;7.2;0.31;13.3;0.056;195.0;0.9982;9.2;5
Vino_0114;6.7;0.41;9.2;0.049;150.0;0.9968;9.1;5
Vino_0115;6.7;0.41;9.2;0.049;150.0;0.9968;9.1;5
Vino_0116;5.5;0.485;1.5;0.065;103.0;0.994;9.7;4
Vino_0117;6.0;0.31;3.3;0.041;143.0;0.9914;11.3;6
Vino_0118;7.0;0.14;1.7;0.035;85.0;0.9911;11.8;6
Vino_0119;7.2;0.31;13.3;0.056;195.0;0.9982;9.2;5
Vino_0120;7.3;0.32;13.3;0.06;196.0;0.9982;9.2;5
Vino_0121;5.9;0.36;5.7;0.046;87.0;0.9934;10.2;5
Vino_0122;7.8;0.24;12.2;0.054;138.0;0.9984;8.8;5
Vino_0123;7.4;0.16;6.85;0.059;131.0;0.9952;9.7;5
Vino_0124;6.9;0.19;5.0;0.058;146.0;0.9952;9.1;6
Vino_0125;6.4;0.13;1.6;0.092;158.0;0.9928;9.8;6
Vino_0126;6.7;0.19;1.1;0.026;143.0;0.9912;11.0;6
Vino_0127;7.4;0.39;7.0;0.033;126.0;0.994;10.5;5
Vino_0128;6.5;0.24;7.6;0.038;203.0;0.9958;9.7;7
Vino_0129;6.1;0.3;2.8;0.044;179.0;0.9924;10.9;7
Vino_0130;6.1;0.3;2.7;0.046;184.0;0.9924;10.9;6
Vino_0131;5.7;0.26;10.4;0.02;57.0;0.994;10.6;5
Vino_0132;6.5;0.24;7.6;0.038;203.0;0.9958;9.7;7
Vino_0133;6.5;0.425;13.1;0.038;241.0;0.9979;9.0;5
Vino_0134;6.6;0.24;15.8;0.035;188.0;0.9982;9.2;5
Vino_0135;6.8;0.27;8.1;0.034;203.0;0.9961;8.9;5
Vino_0136;6.7;0.27;15.7;0.036;179.0;0.9979;9.6;5
Vino_0137;8.2;0.23;1.2;0.027;121.0;0.992;10.7;6
Vino_0138;7.1;0.37;10.5;0.045;155.0;0.9975;8.7;5
Vino_0139;6.8;0.19;1.9;0.035;96.0;0.9917;10.8;7
Vino_0140;8.1;0.28;1.9;0.029;79.0;0.9923;11.8;6
Vino_0141;6.3;0.31;2.2;0.045;77.0;0.9927;10.2;5
Vino_0142;7.1;0.37;10.5;0.045;155.0;0.9975;8.7;5
Vino_0143;7.9;0.21;1.2;0.039;107.0;0.992;10.8;6
Vino_0144;8.5;0.21;4.3;0.036;99.0;0.9947;9.7;6
Vino_0145;8.1;0.2;2.0;0.037;87.0;0.9921;11.2;6
Vino_0146;6.3;0.255;1.1;0.04;114.0;0.9905;10.9;6
Vino_0147;5.6;0.16;1.4;0.044;168.0;0.9918;10.1;6
Vino_0148;6.4;0.595;5.2;0.058;97.0;0.9951;9.0;4
Vino_0149;6.3;0.34;4.6;0.034;80.0;0.9917;12.0;7
Vino_0150;6.9;0.25;4.1;0.054;116.0;0.994;9.4;6
Vino_0151;7.9;0.22;8.0;0.043;152.0;0.9934;11.5;7
Vino_0152;7.6;0.18;10.2;0.055;135.0;0.9968;9.9;6
Vino_0153;6.9;0.25;4.1;0.054;116.0;0.994;9.4;6
Vino_0154;7.2;0.18;1.2;0.048;97.0;0.9919;10.4;5
Vino_0155;8.2;0.23;7.5;0.049;76.0;0.9966;9.7;6
Vino_0156;7.4;0.24;14.0;0.066;198.0;0.9979;8.9;6
Vino_0157;7.4;0.24;14.0;0.066;198.0;0.9979;8.9;6
Vino_0158;6.1;0.32;1.5;0.036;124.0;0.9898;12.4;7
Vino_0159;5.2;0.44;1.4;0.036;119.0;0.9894;12.1;8
Vino_0160;5.2;0.44;1.4;0.036;119.0;0.9894;12.1;8
Vino_0161;6.1;0.32;1.5;0.036;124.0;0.9898;12.4;7
Vino_0162;6.4;0.22;14.5;0.055;159.0;0.998;9.1;5
Vino_0163;6.3;0.36;4.8;0.049;85.0;0.9932;10.6;5
Vino_0164;7.4;0.24;14.0;0.066;198.0;0.9979;8.9;6
Vino_0165;6.7;0.24;13.1;0.05;205.0;0.997;9.5;5
Vino_0166;7.0;0.23;13.0;0.051;177.0;0.9972;9.8;5
Vino_0167;8.4;0.27;8.7;0.048;197.0;0.9974;9.6;6
Vino_0168;6.7;0.46;2.4;0.034;98.0;0.9896;12.6;7
Vino_0169;7.5;0.29;8.95;0.055;151.0;0.9968;9.3;5
Vino_0170;9.8;0.42;9.85;0.034;110.0;0.9958;10.0;5
Vino_0171;7.1;0.3;1.5;0.066;133.0;0.9906;12.7;6
Vino_0172;7.9;0.19;1.5;0.045;96.0;0.9917;11.0;6
Vino_0173;7.6;0.48;0.8;0.037;100.0;0.9902;11.4;4
Vino_0174;6.3;0.22;4.55;0.038;130.0;0.9918;11.5;7
Vino_0175;7.5;0.27;17.7;0.051;173.0;0.999;10.2;5
Vino_0176;6.9;0.23;7.5;0.04;151.0;0.9927;11.4;6
Vino_0177;7.2;0.32;5.1;0.044;65.0;0.991;12.6;4
Vino_0178;5.9;0.23;12.9;0.054;170.0;0.9972;9.4;5
Vino_0179;6.0;0.67;1.2;0.06;108.0;0.9931;8.7;4
Vino_0180;6.4;0.25;5.5;0.049;176.0;0.995;9.2;6
Vino_0181;6.4;0.33;5.5;0.048;173.0;0.9951;9.3;6
Vino_0182;7.1;0.34;1.2;0.053;183.0;0.9936;9.2;5
Vino_0183;6.8;0.28;22.0;0.048;167.0;1.001;8.7;5
Vino_0184;6.9;0.27;14.0;0.05;227.0;0.9979;9.6;6
Vino_0185;6.8;0.26;11.9;0.043;226.0;0.997;9.3;5
Vino_0186;6.8;0.29;11.9;0.043;230.0;0.9972;9.3;5
Vino_0187;6.7;0.24;9.4;0.04;166.0;0.9954;9.9;6
Vino_0188;5.9;0.3;4.2;0.038;119.0;0.9924;11.0;5
Vino_0189;6.8;0.53;3.8;0.034;109.0;0.9906;12.7;8
Vino_0190;6.5;0.28;8.5;0.047;210.0;0.9962;8.9;4
Vino_0191;6.6;0.28;8.5;0.052;211.0;0.9962;8.9;6
Vino_0192;6.8;0.28;22.0;0.048;167.0;1.001;8.7;5
Vino_0193;6.8;0.28;8.0;0.045;123.0;0.9928;11.4;6
Vino_0194;6.6;0.15;5.1;0.055;125.0;0.9942;9.6;5
Vino_0195;6.4;0.29;3.6;0.2;181.0;0.9942;9.1;5
Vino_0196;6.4;0.3;3.5;0.197;180.0;0.9942;9.1;6
Vino_0197;6.4;0.29;3.6;0.197;183.0;0.9942;9.1;5
Vino_0198;6.8;0.26;7.8;0.052;214.0;0.9961;8.9;5
Vino_0199;7.1;0.32;13.1;0.05;204.0;0.998;8.8;5
Vino_0200;6.8;0.26;7.8;0.052;214.0;0.9961;8.9;5
Vino_0201;6.8;0.27;16.1;0.049;196.0;0.9984;9.3;5
Vino_0202;7.1;0.32;13.1;0.05;204.0;0.998;8.8;5
Vino_0203;6.9;0.54;13.2;0.05;236.0;0.9973;9.6;5
Vino_0204;6.8;0.26;13.9;0.034;134.0;0.9949;12.0;6
Vino_0205;5.8;0.28;2.3;0.053;114.0;0.9924;10.2;4
Vino_0206;6.4;0.21;11.6;0.042;153.0;0.9972;8.8;5
Vino_0207;7.0;0.16;8.3;0.045;126.0;0.9958;9.2;5
Vino_0208;10.2;0.44;6.2;0.049;124.0;0.9968;9.9;4
Vino_0209;6.8;0.57;2.2;0.04;77.0;0.9938;10.2;5
Vino_0210;6.1;0.4;0.9;0.048;170.0;0.993;9.5;6
Vino_0211;5.6;0.245;9.7;0.032;68.0;0.994;10.5;5
Vino_0212;6.8;0.18;1.4;0.038;111.0;0.9918;11.2;7
Vino_0213;7.0;0.16;8.3;0.045;126.0;0.9958;9.2;5
Vino_0214;6.7;0.13;5.3;0.051;122.0;0.9944;9.7;6
Vino_0215;6.2;0.25;1.4;0.03;105.0;0.9912;11.1;7
Vino_0216;5.8;0.26;9.2;0.044;152.0;0.9961;9.4;5
Vino_0217;7.5;0.27;7.0;0.036;164.0;0.9939;11.0;5
Vino_0218;5.8;0.26;9.2;0.044;152.0;0.9961;9.4;5
Vino_0219;5.7;0.28;17.5;0.044;167.0;0.9989;9.4;5
Vino_0220;7.5;0.23;7.0;0.036;161.0;0.9938;11.0;5
Vino_0221;7.5;0.27;7.0;0.036;164.0;0.9939;11.0;5
Vino_0222;7.2;0.685;9.5;0.07;172.0;0.9971;9.1;6
Vino_0223;6.2;0.25;1.4;0.03;105.0;0.9912;11.1;7
Vino_0224;6.5;0.19;0.8;0.043;144.0;0.9936;9.1;6
Vino_0225;6.3;0.495;1.8;0.046;140.0;0.9929;10.4;6
Vino_0226;7.1;0.24;17.8;0.046;145.0;0.9998;8.7;5
Vino_0227;6.4;0.17;2.4;0.048;200.0;0.9938;9.7;6
Vino_0228;7.1;0.25;10.3;0.041;272.0;0.9969;9.1;6
Vino_0229;6.4;0.17;2.4;0.048;200.0;0.9938;9.7;6
Vino_0230;7.1;0.24;17.8;0.046;145.0;0.9998;8.7;5
Vino_0231;6.8;0.64;9.7;0.062;142.0;0.9972;8.9;4
Vino_0232;8.3;0.28;7.8;0.041;194.0;0.9976;9.6;6
Vino_0233;8.2;0.27;7.8;0.039;208.0;0.9976;9.5;6
Vino_0234;7.2;0.23;14.3;0.058;194.0;0.9979;9.0;6
Vino_0235;7.2;0.23;14.3;0.058;194.0;0.9979;9.0;6
Vino_0236;7.2;0.23;14.3;0.058;194.0;0.9979;9.0;6
Vino_0237;7.2;0.23;14.3;0.058;194.0;0.9979;9.0;6
Vino_0238;6.8;0.52;13.2;0.044;221.0;0.9972;9.6;6
Vino_0239;7.0;0.26;1.4;0.037;120.0;0.9918;11.1;7
Vino_0240;6.2;0.25;15.55;0.039;159.0;0.9982;9.6;6
Vino_0241;7.3;0.32;13.7;0.05;197.0;0.9985;8.7;5
Vino_0242;7.7;0.31;7.8;0.031;90.0;0.9944;10.4;5
Vino_0243;7.1;0.21;2.4;0.026;100.0;0.9903;11.4;7
Vino_0244;6.8;0.24;2.7;0.047;218.5;0.9934;9.7;6
Vino_0245;6.9;0.4;11.2;0.043;142.0;0.9975;8.7;5
Vino_0246;6.1;0.18;2.0;0.038;249.5;0.9923;11.3;6
Vino_0247;6.8;0.21;2.1;0.03;139.0;0.99;12.6;7
Vino_0248;5.8;0.2;1.4;0.031;77.0;0.9905;10.9;7
Vino_0249;5.6;0.19;1.4;0.03;76.0;0.9905;10.9;7
Vino_0250;6.1;0.41;10.4;0.037;119.0;0.996;10.0;5
Vino_0251;5.9;0.21;4.6;0.053;199.0;0.9964;10.0;4
Vino_0252;8.5;0.26;16.2;0.074;197.0;0.998;9.8;3
Vino_0253;6.9;0.4;11.2;0.043;142.0;0.9975;8.7;5
Vino_0254;5.8;0.24;3.5;0.029;109.0;0.9913;11.7;3
Vino_0255;5.8;0.24;1.5;0.054;158.0;0.9932;9.3;6
Vino_0256;6.7;0.26;1.1;0.04;147.0;0.9935;9.6;8
Vino_0257;6.3;0.35;5.7;0.035;97.0;0.9927;11.0;7
Vino_0258;6.3;0.35;5.7;0.035;97.0;0.9927;11.0;7
Vino_0259;6.4;0.23;1.8;0.032;118.0;0.9912;11.8;6
Vino_0260;5.8;0.36;0.9;0.037;75.0;0.9904;11.4;4
Vino_0261;6.9;0.115;5.4;0.048;108.0;0.9939;10.2;6
Vino_0262;6.9;0.29;19.45;0.043;156.0;0.9996;8.9;5
Vino_0263;6.9;0.28;8.2;0.036;95.0;0.9944;10.2;5
Vino_0264;7.2;0.29;13.6;0.045;231.0;0.9977;9.6;6
Vino_0265;6.2;0.24;1.2;0.038;167.0;0.9912;10.6;6
Vino_0266;6.9;0.29;19.45;0.043;156.0;0.9996;8.9;5
Vino_0267;6.9;0.32;8.3;0.053;180.0;0.9965;9.2;6
Vino_0268;5.3;0.58;6.9;0.043;149.0;0.9944;9.7;5
Vino_0269;5.3;0.585;7.1;0.044;145.0;0.9945;9.7;6
Vino_0270;5.4;0.59;7.0;0.045;147.0;0.9944;9.7;6
Vino_0271;6.9;0.32;8.3;0.053;180.0;0.9965;9.2;6
Vino_0272;5.2;0.6;7.0;0.044;147.0;0.9944;9.7;5
Vino_0273;5.8;0.25;13.1;0.051;148.0;0.9972;9.3;5
Vino_0274;6.6;0.58;5.1;0.057;123.0;0.9949;9.0;5
Vino_0275;7.0;0.29;10.7;0.046;234.0;0.9966;9.5;5
Vino_0276;6.6;0.19;8.9;0.046;169.0;0.9954;9.8;6
Vino_0277;6.7;0.2;9.1;0.044;166.0;0.9954;9.8;6
Vino_0278;7.7;0.26;1.1;0.042;60.0;0.9915;10.6;5
Vino_0279;6.8;0.32;1.2;0.044;67.0;0.9919;10.6;4
Vino_0280;7.0;0.3;4.7;0.036;105.0;0.9916;12.4;7
Vino_0281;7.0;0.24;2.8;0.034;112.0;0.99;12.6;8
Vino_0282;6.1;0.31;5.0;0.039;114.0;0.9909;12.3;8
Vino_0283;6.8;0.44;5.1;0.047;201.0;0.9938;10.5;4
Vino_0284;6.7;0.34;15.6;0.054;196.0;0.9982;9.3;5
Vino_0285;7.1;0.35;15.4;0.055;198.0;0.9988;8.8;5
Vino_0286;7.3;0.32;7.2;0.056;180.0;0.9961;8.8;5
Vino_0287;6.5;0.28;15.7;0.053;190.0;0.9978;9.7;6
Vino_0288;7.2;0.23;14.2;0.058;192.0;0.9979;9.0;7
Vino_0289;7.2;0.23;14.2;0.058;192.0;0.9979;9.0;7
Vino_0290;7.2;0.23;14.2;0.058;192.0;0.9979;9.0;7
Vino_0291;7.2;0.23;14.2;0.058;192.0;0.9979;9.0;7
Vino_0292;5.9;0.15;5.8;0.041;155.0;0.9945;10.5;6
Vino_0293;7.4;0.28;19.8;0.066;195.0;1.0;9.1;5
Vino_0294;6.2;0.28;7.3;0.041;157.0;0.9957;9.8;7
Vino_0295;9.1;0.59;1.6;0.066;182.0;0.9968;8.5;3
Vino_0296;6.3;0.33;1.2;0.046;175.0;0.9934;9.4;6
Vino_0297;8.3;0.39;10.6;0.045;169.0;0.9976;9.4;5
Vino_0298;7.2;0.19;3.8;0.041;187.0;0.9932;11.2;7
Vino_0299;7.5;0.17;11.3;0.046;146.0;0.997;10.0;6
Vino_0300;6.7;0.17;2.1;0.043;122.0;0.9923;10.3;6
Vino_0301;6.1;0.41;1.6;0.063;87.0;0.9914;10.8;6
Vino_0302;8.3;0.2;0.9;0.05;74.0;0.992;10.5;6
Vino_0303;6.1;0.41;1.6;0.063;87.0;0.9914;10.8;6
Vino_0304;6.0;0.29;1.3;0.055;168.0;0.9914;11.1;6
Vino_0305;7.3;0.41;6.8;0.057;163.0;0.9949;9.9;6
Vino_0306;7.3;0.41;6.8;0.057;163.0;0.9949;9.9;6
Vino_0307;7.2;0.43;6.7;0.058;163.0;0.995;9.9;5
Vino_0308;7.3;0.4;6.7;0.058;166.0;0.995;9.9;6
Vino_0309;6.2;0.33;4.9;0.036;134.0;0.9927;10.4;7
Vino_0310;6.2;0.31;4.8;0.037;148.0;0.9928;10.4;6
Vino_0311;6.1;0.36;2.1;0.035;100.0;0.9917;11.5;7
Vino_0312;5.0;0.55;8.3;0.032;164.0;0.9918;12.5;8
Vino_0313;7.8;0.25;3.7;0.042;149.0;0.9954;10.0;6
Vino_0314;5.7;0.36;6.7;0.038;166.0;0.9941;10.0;6
Vino_0315;5.8;0.34;6.6;0.04;167.0;0.9941;10.0;5
Vino_0316;6.8;0.28;1.1;0.132;127.0;0.9934;9.1;6
Vino_0317;6.8;0.25;4.7;0.031;134.0;0.9927;10.6;6
Vino_0318;6.6;0.24;7.7;0.031;135.0;0.9938;10.5;5
Vino_0319;5.9;0.3;7.85;0.03;133.0;0.9933;11.5;7
Vino_0320;6.1;0.125;3.3;0.04;69.0;0.9934;10.1;6
Vino_0321;6.0;0.1;1.1;0.041;65.0;0.9927;10.3;7
Vino_0322;6.6;0.24;7.7;0.031;135.0;0.9938;10.5;5
Vino_0323;6.8;0.25;4.7;0.031;134.0;0.9927;10.6;6
Vino_0324;6.8;0.28;9.3;0.031;137.0;0.9946;10.4;6
Vino_0325;8.3;0.41;2.0;0.046;207.0;0.993;11.4;5
Vino_0326;7.5;0.27;5.8;0.057;313.0;0.9946;10.5;5
Vino_0327;7.9;0.26;15.15;0.04;216.0;0.9976;10.0;6
Vino_0328;6.4;0.34;6.3;0.039;143.0;0.9944;10.0;6
Vino_0329;6.5;0.28;15.4;0.042;195.0;0.9978;9.6;6
Vino_0330;7.2;0.21;1.3;0.036;85.0;0.992;10.4;5
Vino_0331;6.4;0.32;4.8;0.03;101.0;0.9912;12.5;8
Vino_0332;6.8;0.24;4.6;0.032;135.0;0.9927;10.6;5
Vino_0333;6.3;0.23;1.8;0.033;91.0;0.9906;11.8;6
Vino_0334;6.5;0.28;9.9;0.038;133.0;0.9954;9.8;5
Vino_0335;5.6;0.26;5.7;0.031;80.0;0.9923;10.8;5
Vino_0336;6.3;0.23;1.8;0.033;91.0;0.9906;11.8;6
Vino_0337;6.3;0.23;1.5;0.036;105.0;0.991;11.2;6
Vino_0338;5.8;0.27;12.3;0.045;170.0;0.9972;9.3;6
Vino_0339;5.9;0.26;1.3;0.047;139.0;0.9945;10.4;5
Vino_0340;6.6;0.18;1.5;0.049;141.0;0.9934;10.2;7
Vino_0341;7.4;0.2;7.8;0.045;153.0;0.9964;9.0;7
Vino_0342;8.0;0.24;1.5;0.047;129.0;0.9948;10.0;6
Vino_0343;6.4;0.26;9.7;0.044;140.0;0.9962;9.1;6
Vino_0344;5.4;0.31;3.0;0.053;144.0;0.9931;10.0;5
Vino_0345;5.4;0.29;3.0;0.052;145.0;0.993;10.0;6
Vino_0346;7.1;0.145;4.6;0.05;131.0;0.9942;9.6;6
Vino_0347;5.6;0.34;1.3;0.031;68.0;0.9906;11.2;7
Vino_0348;6.7;0.19;15.6;0.056;155.0;0.9995;8.8;6
Vino_0349;7.8;0.18;13.6;0.052;118.0;0.998;10.0;6
Vino_0350;7.6;0.17;11.2;0.054;137.0;0.997;10.0;5
Vino_0351;6.3;0.12;2.1;0.044;146.0;0.9914;11.4;7
Vino_0352;7.3;0.33;6.85;0.038;138.0;0.992;11.9;7
Vino_0353;5.5;0.335;2.5;0.071;128.0;0.9924;9.6;6
Vino_0354;7.3;0.33;6.85;0.038;138.0;0.992;11.9;7
Vino_0355;5.8;0.4;4.4;0.047;245.0;0.9937;9.6;6
Vino_0356;7.3;0.22;14.3;0.063;191.0;0.9978;9.0;6
Vino_0357;7.3;0.22;14.3;0.063;191.0;0.9978;9.0;6
Vino_0358;6.1;0.36;1.1;0.05;169.0;0.9927;9.5;6
Vino_0359;10.0;0.2;1.4;0.05;152.0;0.994;10.4;6
Vino_0360;6.9;0.24;4.7;0.04;161.0;0.9935;10.6;6
Vino_0361;6.4;0.24;14.9;0.047;162.0;0.9968;10.2;6
Vino_0362;7.1;0.365;1.2;0.055;84.0;0.9941;8.9;5
Vino_0363;6.8;0.15;5.3;0.05;127.0;0.9942;9.7;6
Vino_0364;7.3;0.22;14.3;0.063;191.0;0.9978;9.0;6
Vino_0365;6.8;0.16;2.3;0.037;102.0;0.9923;11.4;7
Vino_0366;6.0;0.26;3.5;0.028;113.0;0.9912;12.3;7
Vino_0367;6.0;0.18;1.5;0.089;143.0;0.9923;10.8;6
