make;model;year;engine_fuel_type;engine_hp;engine_cylinders;transmission_type;vehicle_style;highway_mpg;city_mpg;msrp;car_id
Chrysler;200;2016;flex-fuel (unleaded/E85);184.0;4.0;AUTOMATIC;Sedan;36;23;21995;Chrysler 200 2016
Chrysler;200;2017;flex-fuel (unleaded/E85);295.0;6.0;AUTOMATIC;Sedan;28;18;29905;Chrysler 200 2017
Nissan;200SX;1996;regular unleaded;115.0;4.0;MANUAL;Coupe;36;26;2000;Nissan 200SX 1996
Nissan;200SX;1997;regular unleaded;140.0;4.0;MANUAL;Coupe;29;21;2000;Nissan 200SX 1997
Nissan;200SX;1998;regular unleaded;115.0;4.0;MANUAL;Coupe;35;25;2000;Nissan 200SX 1998
Nissan;240SX;1996;regular unleaded;155.0;4.0;MANUAL;Coupe;26;19;3713;Nissan 240SX 1996
Nissan;240SX;1997;regular unleaded;155.0;4.0;MANUAL;Coupe;26;19;3910;Nissan 240SX 1997
Nissan;240SX;1998;regular unleaded;155.0;4.0;MANUAL;Coupe;25;20;4299;Nissan 240SX 1998
Volvo;240;1991;regular unleaded;114.0;4.0;MANUAL;Wagon;26;19;2000;Volvo 240 1991
Volvo;240;1992;regular unleaded;114.0;4.0;MANUAL;Sedan;26;19;2000;Volvo 240 1992
Volvo;240;1993;regular unleaded;114.0;4.0;MANUAL;Sedan;26;19;2000;Volvo 240 1993
Mazda;2;2012;regular unleaded;100.0;4.0;MANUAL;4dr Hatchback;35;29;16020;Mazda 2 2012
Mazda;2;2013;regular unleaded;100.0;4.0;AUTOMATIC;4dr Hatchback;34;28;17050;Mazda 2 2013
Mazda;2;2014;regular unleaded;100.0;4.0;AUTOMATIC;4dr Hatchback;34;28;17050;Mazda 2 2014
BMW;3 Series Gran Turismo;2015;premium unleaded (required);300.0;6.0;AUTOMATIC;4dr Hatchback;30;20;47250;BMW 3 Series Gran Turismo 2015
BMW;3 Series Gran Turismo;2016;premium unleaded (required);240.0;4.0;AUTOMATIC;4dr Hatchback;34;22;43000;BMW 3 Series Gran Turismo 2016
BMW;3 Series Gran Turismo;2017;premium unleaded (required);320.0;6.0;AUTOMATIC;4dr Hatchback;30;20;49650;BMW 3 Series Gran Turismo 2017
BMW;3 Series;2015;premium unleaded (required);241.0;4.0;AUTOMATIC;Wagon;33;22;41950;BMW 3 Series 2015
BMW;3 Series;2016;diesel;180.0;4.0;AUTOMATIC;Sedan;40;30;41850;BMW 3 Series 2016
BMW;3 Series;2017;premium unleaded (recommended);248.0;4.0;AUTOMATIC;Sedan;34;23;38750;BMW 3 Series 2017
Mercedes-Benz;300-Class;1991;regular unleaded;177.0;6.0;AUTOMATIC;Sedan;19;15;2232;Mercedes-Benz 300-Class 1991
Mercedes-Benz;300-Class;1992;diesel;121.0;5.0;AUTOMATIC;Sedan;29;23;2000;Mercedes-Benz 300-Class 1992
Mercedes-Benz;300-Class;1993;regular unleaded;177.0;6.0;AUTOMATIC;Wagon;19;15;2544;Mercedes-Benz 300-Class 1993
Mitsubishi;3000GT;1997;regular unleaded;218.0;6.0;MANUAL;2dr Hatchback;23;17;3941;Mitsubishi 3000GT 1997
Mitsubishi;3000GT;1998;regular unleaded;320.0;6.0;MANUAL;2dr Hatchback;22;16;6710;Mitsubishi 3000GT 1998
Mitsubishi;3000GT;1999;regular unleaded;218.0;6.0;MANUAL;2dr Hatchback;23;17;5306;Mitsubishi 3000GT 1999
Chrysler;300;2015;regular unleaded;300.0;6.0;AUTOMATIC;Sedan;27;18;37570;Chrysler 300 2015
Chrysler;300;2016;regular unleaded;300.0;6.0;AUTOMATIC;Sedan;27;18;38095;Chrysler 300 2016
Chrysler;300;2017;regular unleaded;292.0;6.0;AUTOMATIC;Sedan;27;18;41135;Chrysler 300 2017
Chrysler;300M;2002;premium unleaded (required);250.0;6.0;AUTOMATIC;Sedan;24;16;32065;Chrysler 300M 2002
Chrysler;300M;2003;premium unleaded (required);255.0;6.0;AUTOMATIC;Sedan;25;16;32315;Chrysler 300M 2003
Chrysler;300M;2004;regular unleaded;250.0;6.0;AUTOMATIC;Sedan;25;16;29185;Chrysler 300M 2004
Nissan;300ZX;1994;regular unleaded;222.0;6.0;MANUAL;Convertible;22;16;2847;Nissan 300ZX 1994
Nissan;300ZX;1995;regular unleaded;300.0;6.0;MANUAL;Coupe;22;16;3049;Nissan 300ZX 1995
Nissan;300ZX;1996;regular unleaded;300.0;6.0;MANUAL;Coupe;22;16;3510;Nissan 300ZX 1996
Mazda;323;1992;regular unleaded;82.0;4.0;MANUAL;2dr Hatchback;33;25;2000;Mazda 323 1992
Mazda;323;1993;regular unleaded;82.0;4.0;MANUAL;2dr Hatchback;33;25;2000;Mazda 323 1993
Mazda;323;1994;regular unleaded;82.0;4.0;MANUAL;2dr Hatchback;33;25;2000;Mazda 323 1994
Mercedes-Benz;350-Class;1990;diesel;134.0;6.0;AUTOMATIC;Sedan;23;19;2144;Mercedes-Benz 350-Class 1990
Mercedes-Benz;350-Class;1991;diesel;134.0;6.0;AUTOMATIC;Sedan;23;19;2178;Mercedes-Benz 350-Class 1991
Nissan;350Z;2007;regular unleaded;306.0;6.0;AUTOMATIC;Convertible;23;17;36550;Nissan 350Z 2007
Nissan;350Z;2008;regular unleaded;306.0;6.0;AUTOMATIC;Coupe;24;17;33840;Nissan 350Z 2008
Nissan;350Z;2009;regular unleaded;306.0;6.0;MANUAL;Convertible;24;17;41570;Nissan 350Z 2009
Ferrari;360;2002;premium unleaded (required);400.0;8.0;MANUAL;Convertible;15;10;160829;Ferrari 360 2002
Ferrari;360;2003;premium unleaded (required);400.0;8.0;MANUAL;Convertible;15;10;165986;Ferrari 360 2003
Ferrari;360;2004;premium unleaded (required);400.0;8.0;AUTOMATED_MANUAL;Coupe;15;10;157767;Ferrari 360 2004
Nissan;370Z;2015;premium unleaded (required);350.0;6.0;AUTOMATIC;Coupe;26;19;46790;Nissan 370Z 2015
Nissan;370Z;2016;premium unleaded (required);332.0;6.0;AUTOMATIC;Convertible;25;18;41820;Nissan 370Z 2016
Nissan;370Z;2017;premium unleaded (required);332.0;6.0;MANUAL;Coupe;26;18;37970;Nissan 370Z 2017
Mazda;3;2015;regular unleaded;184.0;4.0;MANUAL;Sedan;37;25;25045;Mazda 3 2015
Mazda;3;2016;regular unleaded;155.0;4.0;MANUAL;Sedan;41;29;22545;Mazda 3 2016
Mazda;3;2017;regular unleaded;155.0;4.0;AUTOMATIC;Sedan;37;28;21495;Mazda 3 2017
BMW;4 Series Gran Coupe;2015;premium unleaded (required);240.0;4.0;AUTOMATIC;Sedan;33;22;42300;BMW 4 Series Gran Coupe 2015
BMW;4 Series Gran Coupe;2016;premium unleaded (required);240.0;4.0;AUTOMATIC;Sedan;34;22;43650;BMW 4 Series Gran Coupe 2016
BMW;4 Series Gran Coupe;2017;premium unleaded (recommended);320.0;6.0;AUTOMATIC;Sedan;32;21;48300;BMW 4 Series Gran Coupe 2017
BMW;4 Series;2015;premium unleaded (required);300.0;6.0;AUTOMATIC;Convertible;29;20;56900;BMW 4 Series 2015
BMW;4 Series;2016;premium unleaded (required);240.0;4.0;AUTOMATIC;Convertible;33;21;52000;BMW 4 Series 2016
BMW;4 Series;2017;premium unleaded (recommended);248.0;4.0;AUTOMATIC;Convertible;34;23;50300;BMW 4 Series 2017
Mercedes-Benz;400-Class;1992;regular unleaded;268.0;8.0;AUTOMATIC;Sedan;20;15;2168;Mercedes-Benz 400-Class 1992
Mercedes-Benz;400-Class;1993;regular unleaded;275.0;8.0;AUTOMATIC;Sedan;22;16;2278;Mercedes-Benz 400-Class 1993
Mercedes-Benz;420-Class;1990;regular unleaded;201.0;8.0;AUTOMATIC;Sedan;17;14;2000;Mercedes-Benz 420-Class 1990
Mercedes-Benz;420-Class;1991;regular unleaded;201.0;8.0;AUTOMATIC;Sedan;17;14;2186;Mercedes-Benz 420-Class 1991
Ferrari;456M;2001;premium unleaded (required);442.0;12.0;AUTOMATIC;Coupe;14;9;223970;Ferrari 456M 2001
Ferrari;456M;2002;premium unleaded (required);442.0;12.0;AUTOMATIC;Coupe;14;9;228625;Ferrari 456M 2002
Ferrari;456M;2003;premium unleaded (required);442.0;12.0;AUTOMATIC;Coupe;14;9;228625;Ferrari 456M 2003
Ferrari;458 Italia;2013;premium unleaded (required);562.0;8.0;AUTOMATED_MANUAL;Convertible;17;13;257412;Ferrari 458 Italia 2013
Ferrari;458 Italia;2014;premium unleaded (required);562.0;8.0;AUTOMATED_MANUAL;Coupe;17;13;233509;Ferrari 458 Italia 2014
Ferrari;458 Italia;2015;premium unleaded (required);562.0;8.0;AUTOMATED_MANUAL;Coupe;17;13;239340;Ferrari 458 Italia 2015
Alfa Romeo;4C;2015;premium unleaded (required);237.0;4.0;AUTOMATED_MANUAL;Convertible;34;24;63900;Alfa Romeo 4C 2015
Alfa Romeo;4C;2016;premium unleaded (required);237.0;4.0;AUTOMATED_MANUAL;Coupe;34;24;55900;Alfa Romeo 4C 2016
Toyota;4Runner;2014;regular unleaded;270.0;6.0;AUTOMATIC;4dr SUV;23;17;41365;Toyota 4Runner 2014
Toyota;4Runner;2015;regular unleaded;270.0;6.0;AUTOMATIC;4dr SUV;21;17;37825;Toyota 4Runner 2015
Toyota;4Runner;2016;regular unleaded;270.0;6.0;AUTOMATIC;4dr SUV;22;17;36690;Toyota 4Runner 2016
BMW;5 Series Gran Turismo;2015;premium unleaded (required);300.0;6.0;AUTOMATIC;4dr Hatchback;28;19;60700;BMW 5 Series Gran Turismo 2015
BMW;5 Series Gran Turismo;2016;premium unleaded (required);300.0;6.0;AUTOMATIC;4dr Hatchback;26;18;63200;BMW 5 Series Gran Turismo 2016
BMW;5 Series Gran Turismo;2017;premium unleaded (required);300.0;6.0;AUTOMATIC;4dr Hatchback;26;18;63200;BMW 5 Series Gran Turismo 2017
BMW;5 Series;2015;premium unleaded (required);443.0;8.0;AUTOMATIC;Sedan;25;16;67200;BMW 5 Series 2015
BMW;5 Series;2016;diesel;255.0;6.0;AUTOMATIC;Sedan;38;26;57350;BMW 5 Series 2016
Mercedes-Benz;500-Class;1991;regular unleaded;322.0;8.0;AUTOMATIC;Convertible;17;13;4155;Mercedes-Benz 500-Class 1991
Mercedes-Benz;500-Class;1992;regular unleaded;322.0;8.0;AUTOMATIC;Sedan;15;11;2427;Mercedes-Benz 500-Class 1992
Mercedes-Benz;500-Class;1993;regular unleaded;315.0;8.0;AUTOMATIC;Coupe;16;12;3176;Mercedes-Benz 500-Class 1993
FIAT;500;2015;premium unleaded (recommended);160.0;4.0;MANUAL;Convertible;34;28;26595;FIAT 500 2015
FIAT;500;2016;premium unleaded (recommended);160.0;4.0;MANUAL;Convertible;34;28;26695;FIAT 500 2016
FIAT;500;2017;premium unleaded (recommended);160.0;4.0;MANUAL;2dr Hatchback;33;28;19995;FIAT 500 2017
FIAT;500L;2015;premium unleaded (recommended);160.0;4.0;MANUAL;Wagon;33;25;19345;FIAT 500L 2015
FIAT;500L;2016;premium unleaded (recommended);160.0;4.0;MANUAL;Wagon;33;25;21880;FIAT 500L 2016
FIAT;500L;2017;premium unleaded (recommended);160.0;4.0;AUTOMATIC;Wagon;30;22;23695;FIAT 500L 2017
FIAT;500X;2016;regular unleaded;180.0;4.0;AUTOMATIC;4dr SUV;30;21;24635;FIAT 500X 2016
FIAT;500X;2017;regular unleaded;180.0;4.0;AUTOMATIC;4dr SUV;29;21;27035;FIAT 500X 2017
Ferrari;550;2001;premium unleaded (required);485.0;12.0;MANUAL;Convertible;12;8;248500;Ferrari 550 2001
Mercedes-Benz;560-Class;1990;regular unleaded;238.0;8.0;AUTOMATIC;Coupe;16;12;2323;Mercedes-Benz 560-Class 1990
Mercedes-Benz;560-Class;1991;regular unleaded;238.0;8.0;AUTOMATIC;Coupe;16;12;2443;Mercedes-Benz 560-Class 1991
McLaren;570S;2016;premium unleaded (required);562.0;8.0;AUTOMATED_MANUAL;Coupe;23;16;184900;McLaren 570S 2016
Ferrari;575M;2002;premium unleaded (required);515.0;12.0;MANUAL;Coupe;15;9;214670;Ferrari 575M 2002
Ferrari;575M;2003;premium unleaded (required);515.0;12.0;MANUAL;Coupe;15;9;217890;Ferrari 575M 2003
Ferrari;575M;2004;premium unleaded (required);515.0;12.0;AUTOMATED_MANUAL;Coupe;16;9;228339;Ferrari 575M 2004
Maybach;57;2010;premium unleaded (required);543.0;12.0;AUTOMATIC;Sedan;16;10;366000;Maybach 57 2010
Maybach;57;2011;premium unleaded (required);543.0;12.0;AUTOMATIC;Sedan;16;10;372500;Maybach 57 2011
Maybach;57;2012;premium unleaded (required);543.0;12.0;AUTOMATIC;Sedan;16;10;379050;Maybach 57 2012
Ferrari;599;2009;premium unleaded (required);611.0;12.0;AUTOMATED_MANUAL;Coupe;15;11;320580;Ferrari 599 2009
Ferrari;599;2010;premium unleaded (required);611.0;12.0;MANUAL;Coupe;15;11;310543;Ferrari 599 2010
Ferrari;599;2011;premium unleaded (required);611.0;12.0;AUTOMATED_MANUAL;Coupe;15;11;320580;Ferrari 599 2011
Mazda;5;2013;regular unleaded;157.0;4.0;AUTOMATIC;Passenger Minivan;28;22;24470;Mazda 5 2013
Mazda;5;2014;regular unleaded;157.0;4.0;MANUAL;Passenger Minivan;28;21;20140;Mazda 5 2014
Mazda;5;2015;regular unleaded;157.0;4.0;AUTOMATIC;Passenger Minivan;28;21;24770;Mazda 5 2015
BMW;6 Series Gran Coupe;2015;premium unleaded (required);445.0;8.0;AUTOMATIC;Sedan;24;16;92600;BMW 6 Series Gran Coupe 2015
BMW;6 Series Gran Coupe;2016;premium unleaded (required);445.0;8.0;AUTOMATIC;Sedan;24;15;93900;BMW 6 Series Gran Coupe 2016
BMW;6 Series Gran Coupe;2017;premium unleaded (required);445.0;8.0;AUTOMATIC;Sedan;24;17;91200;BMW 6 Series Gran Coupe 2017
BMW;6 Series;2015;premium unleaded (required);445.0;8.0;AUTOMATIC;Convertible;25;17;94900;BMW 6 Series 2015
BMW;6 Series;2016;premium unleaded (required);315.0;6.0;AUTOMATIC;Convertible;29;20;87800;BMW 6 Series 2016
BMW;6 Series;2017;premium unleaded (required);445.0;8.0;AUTOMATIC;Coupe;24;16;92000;BMW 6 Series 2017
Mercedes-Benz;600-Class;1992;regular unleaded;402.0;12.0;AUTOMATIC;Sedan;14;10;2960;Mercedes-Benz 600-Class 1992
Mercedes-Benz;600-Class;1993;regular unleaded;389.0;12.0;AUTOMATIC;Sedan;15;11;3108;Mercedes-Benz 600-Class 1993
Pontiac;6000;1990;regular unleaded;140.0;6.0;AUTOMATIC;Sedan;27;17;2000;Pontiac 6000 1990
Pontiac;6000;1991;regular unleaded;140.0;6.0;AUTOMATIC;Wagon;28;17;2000;Pontiac 6000 1991
Ferrari;612 Scaglietti;2009;premium unleaded (required);532.0;12.0;AUTOMATED_MANUAL;Coupe;16;9;313088;Ferrari 612 Scaglietti 2009
Ferrari;612 Scaglietti;2010;premium unleaded (required);532.0;12.0;AUTOMATED_MANUAL;Coupe;16;9;313088;Ferrari 612 Scaglietti 2010
Ferrari;612 Scaglietti;2011;premium unleaded (required);532.0;12.0;AUTOMATED_MANUAL;Coupe;16;9;313088;Ferrari 612 Scaglietti 2011
Mazda;626;2000;regular unleaded;170.0;6.0;MANUAL;Sedan;25;19;2080;Mazda 626 2000
Mazda;626;2001;premium unleaded (required);165.0;6.0;MANUAL;Sedan;25;19;22935;Mazda 626 2001
Mazda;626;2002;premium unleaded (required);165.0;6.0;MANUAL;Sedan;25;19;19985;Mazda 626 2002
Maybach;62;2010;premium unleaded (required);604.0;12.0;AUTOMATIC;Sedan;16;10;456500;Maybach 62 2010
Maybach;62;2011;premium unleaded (required);543.0;12.0;AUTOMATIC;Sedan;16;10;423500;Maybach 62 2011
Maybach;62;2012;premium unleaded (required);620.0;12.0;AUTOMATIC;Sedan;16;10;470350;Maybach 62 2012
McLaren;650S Coupe;2015;premium unleaded (required);641.0;8.0;AUTOMATED_MANUAL;Coupe;22;16;265500;McLaren 650S Coupe 2015
McLaren;650S Spider;2015;premium unleaded (required);641.0;8.0;AUTOMATED_MANUAL;Convertible;22;16;280225;McLaren 650S Spider 2015
Mazda;6;2015;regular unleaded;184.0;4.0;AUTOMATIC;Sedan;38;26;24895;Mazda 6 2015
Mazda;6;2016;regular unleaded;184.0;4.0;AUTOMATIC;Sedan;38;26;22995;Mazda 6 2016
Mazda;6;2017;regular unleaded;184.0;4.0;AUTOMATIC;Sedan;35;26;30695;Mazda 6 2017
BMW;7 Series;2015;premium unleaded (required);535.0;12.0;AUTOMATIC;Sedan;20;13;141200;BMW 7 Series 2015
BMW;7 Series;2016;premium unleaded (required);445.0;8.0;AUTOMATIC;Sedan;25;17;94400;BMW 7 Series 2016
BMW;7 Series;2017;premium unleaded (required);445.0;8.0;AUTOMATIC;Sedan;26;17;94600;BMW 7 Series 2017
Porsche;718 Cayman;2017;premium unleaded (required);300.0;4.0;MANUAL;Coupe;28;21;53900;Porsche 718 Cayman 2017
Volvo;740;1990;regular unleaded;114.0;4.0;MANUAL;Sedan;26;19;2000;Volvo 740 1990
Volvo;740;1991;regular unleaded;162.0;4.0;AUTOMATIC;Wagon;20;17;2000;Volvo 740 1991
Volvo;740;1992;regular unleaded;162.0;4.0;AUTOMATIC;Wagon;20;17;2000;Volvo 740 1992
Volvo;760;1990;regular unleaded;144.0;6.0;AUTOMATIC;Sedan;19;15;2000;Volvo 760 1990
Volvo;780;1990;regular unleaded;188.0;4.0;AUTOMATIC;Coupe;20;16;2000;Volvo 780 1990
BMW;8 Series;1995;regular unleaded;282.0;8.0;AUTOMATIC;Coupe;22;15;4784;BMW 8 Series 1995
BMW;8 Series;1996;regular unleaded;322.0;12.0;AUTOMATIC;Coupe;19;12;6954;BMW 8 Series 1996
BMW;8 Series;1997;regular unleaded;322.0;12.0;AUTOMATIC;Coupe;19;12;7624;BMW 8 Series 1997
Audi;80;1990;regular unleaded;108.0;4.0;MANUAL;Sedan;28;19;2000;Audi 80 1990
Audi;80;1991;regular unleaded;130.0;5.0;MANUAL;Sedan;24;18;2000;Audi 80 1991
Audi;80;1992;regular unleaded;130.0;5.0;MANUAL;Sedan;24;18;2000;Audi 80 1992
Volvo;850;1995;regular unleaded;222.0;5.0;AUTOMATIC;Wagon;24;17;2000;Volvo 850 1995
Volvo;850;1996;regular unleaded;222.0;5.0;AUTOMATIC;Sedan;24;17;2000;Volvo 850 1996
Volvo;850;1997;regular unleaded;168.0;5.0;MANUAL;Sedan;26;18;2000;Volvo 850 1997
Toyota;86;2017;premium unleaded (recommended);205.0;4.0;MANUAL;Coupe;28;21;26255;Toyota 86 2017
Saab;9-2X;2005;premium unleaded (required);227.0;4.0;MANUAL;Wagon;24;17;26950;Saab 9-2X 2005
Saab;9-2X;2006;premium unleaded (required);230.0;4.0;MANUAL;Wagon;25;18;26950;Saab 9-2X 2006
Saab;9-3 Griffin;2012;flex-fuel (premium unleaded recommended/E85);220.0;4.0;MANUAL;Sedan;33;20;28900;Saab 9-3 Griffin 2012
Saab;9-3;2009;premium unleaded (recommended);210.0;4.0;AUTOMATIC;Wagon;27;17;37810;Saab 9-3 2009
Saab;9-3;2010;premium unleaded (recommended);207.0;4.0;AUTOMATIC;Sedan;27;17;32395;Saab 9-3 2010
Saab;9-3;2011;premium unleaded (recommended);210.0;4.0;MANUAL;Sedan;31;21;28900;Saab 9-3 2011
Saab;9-4X;2011;premium unleaded (required);265.0;6.0;AUTOMATIC;4dr SUV;25;18;37250;Saab 9-4X 2011
Saab;9-5;2009;premium unleaded (recommended);260.0;4.0;AUTOMATIC;Sedan;27;17;39400;Saab 9-5 2009
Saab;9-5;2010;premium unleaded (recommended);300.0;6.0;AUTOMATIC;Sedan;27;16;49165;Saab 9-5 2010
Saab;9-5;2011;premium unleaded (recommended);220.0;4.0;MANUAL;Sedan;33;20;38525;Saab 9-5 2011
Saab;9-7X;2007;regular unleaded;290.0;6.0;AUTOMATIC;4dr SUV;20;14;39190;Saab 9-7X 2007
Saab;9-7X;2008;regular unleaded;300.0;8.0;AUTOMATIC;4dr SUV;19;13;42770;Saab 9-7X 2008
Saab;9-7X;2009;regular unleaded;390.0;8.0;AUTOMATIC;4dr SUV;16;12;49105;Saab 9-7X 2009
Saab;9000;1996;regular unleaded;225.0;4.0;MANUAL;4dr Hatchback;25;18;2000;Saab 9000 1996
Saab;9000;1997;regular unleaded;210.0;6.0;AUTOMATIC;4dr Hatchback;24;16;2122;Saab 9000 1997
Saab;9000;1998;regular unleaded;225.0;4.0;MANUAL;4dr Hatchback;25;18;2172;Saab 9000 1998
Saab;900;1996;regular unleaded;185.0;4.0;MANUAL;2dr Hatchback;26;18;2000;Saab 900 1996
Saab;900;1997;regular unleaded;185.0;4.0;MANUAL;2dr Hatchback;25;18;2000;Saab 900 1997
Saab;900;1998;regular unleaded;185.0;4.0;MANUAL;2dr Hatchback;25;18;2000;Saab 900 1998
Audi;90;1993;regular unleaded;172.0;6.0;MANUAL;Sedan;20;15;2000;Audi 90 1993
Audi;90;1994;regular unleaded;172.0;6.0;MANUAL;Sedan;22;17;2000;Audi 90 1994
Audi;90;1995;regular unleaded;172.0;6.0;MANUAL;Sedan;23;17;2000;Audi 90 1995
Porsche;911;2015;premium unleaded (required);350.0;6.0;MANUAL;Convertible;27;19;96200;Porsche 911 2015
Porsche;911;2016;premium unleaded (required);350.0;6.0;MANUAL;Convertible;26;19;102930;Porsche 911 2016
Porsche;911;2017;premium unleaded (required);540.0;6.0;AUTOMATED_MANUAL;Coupe;29;20;159200;Porsche 911 2017
Porsche;928;1993;regular unleaded;345.0;8.0;MANUAL;2dr Hatchback;17;11;6294;Porsche 928 1993
Porsche;928;1994;regular unleaded;345.0;8.0;MANUAL;2dr Hatchback;17;11;7419;Porsche 928 1994
Porsche;928;1995;regular unleaded;345.0;8.0;MANUAL;2dr Hatchback;17;11;9400;Porsche 928 1995
Mazda;929;1993;regular unleaded;195.0;6.0;AUTOMATIC;Sedan;22;17;2000;Mazda 929 1993
Mazda;929;1994;regular unleaded;193.0;6.0;AUTOMATIC;Sedan;22;17;2000;Mazda 929 1994
Mazda;929;1995;regular unleaded;193.0;6.0;AUTOMATIC;Sedan;22;17;2000;Mazda 929 1995
Volvo;940;1993;regular unleaded;114.0;4.0;AUTOMATIC;Sedan;25;17;2000;Volvo 940 1993
Volvo;940;1994;regular unleaded;114.0;4.0;AUTOMATIC;Sedan;24;17;2000;Volvo 940 1994
Volvo;940;1995;regular unleaded;162.0;4.0;AUTOMATIC;Sedan;22;17;2000;Volvo 940 1995
Porsche;944;1990;regular unleaded;208.0;4.0;MANUAL;2dr Hatchback;24;15;2667;Porsche 944 1990
Porsche;944;1991;regular unleaded;208.0;4.0;MANUAL;Convertible;24;15;3578;Porsche 944 1991
Volvo;960;1995;regular unleaded;181.0;6.0;AUTOMATIC;Wagon;23;15;2000;Volvo 960 1995
Volvo;960;1996;regular unleaded;181.0;6.0;AUTOMATIC;Sedan;24;16;2000;Volvo 960 1996
Volvo;960;1997;regular unleaded;181.0;6.0;AUTOMATIC;Wagon;24;16;2000;Volvo 960 1997
Porsche;968;1993;regular unleaded;236.0;4.0;MANUAL;Convertible;24;15;4651;Porsche 968 1993
Porsche;968;1994;regular unleaded;236.0;4.0;MANUAL;Coupe;24;15;4191;Porsche 968 1994
Porsche;968;1995;regular unleaded;236.0;4.0;MANUAL;Coupe;24;15;4723;Porsche 968 1995
Audi;A3;2015;diesel;150.0;4.0;AUTOMATED_MANUAL;Sedan;43;31;35150;Audi A3 2015
Audi;A3;2016;premium unleaded (recommended);220.0;4.0;AUTOMATED_MANUAL;Sedan;33;24;34200;Audi A3 2016
Audi;A3;2017;premium unleaded (recommended);220.0;4.0;AUTOMATED_MANUAL;Sedan;35;26;43150;Audi A3 2017
Audi;A4 allroad;2017;premium unleaded (recommended);252.0;4.0;AUTOMATED_MANUAL;Wagon;28;23;51400;Audi A4 allroad 2017
Audi;A4;2015;premium unleaded (required);220.0;4.0;AUTOMATIC;Sedan;31;22;45000;Audi A4 2015
Audi;A4;2016;premium unleaded (required);220.0;4.0;MANUAL;Sedan;32;22;37000;Audi A4 2016
Audi;A4;2017;premium unleaded (recommended);252.0;4.0;AUTOMATED_MANUAL;Sedan;33;25;37300;Audi A4 2017
Audi;A5;2016;premium unleaded (required);220.0;4.0;AUTOMATIC;Coupe;31;22;43800;Audi A5 2016
Audi;A5;2017;flex-fuel (premium unleaded recommended/E85);220.0;4.0;MANUAL;Coupe;32;23;41200;Audi A5 2017
Audi;A6;2015;diesel;240.0;6.0;AUTOMATIC;Sedan;38;24;58700;Audi A6 2015
Audi;A6;2016;premium unleaded (recommended);252.0;4.0;AUTOMATIC;Sedan;32;22;52100;Audi A6 2016
Audi;A6;2017;premium unleaded (recommended);252.0;4.0;AUTOMATIC;Sedan;31;22;53800;Audi A6 2017
Audi;A7;2015;premium unleaded (required);310.0;6.0;AUTOMATIC;Sedan;28;18;65900;Audi A7 2015
Audi;A7;2016;diesel;240.0;6.0;AUTOMATIC;Sedan;38;25;70400;Audi A7 2016
Audi;A7;2017;premium unleaded (required);333.0;6.0;AUTOMATIC;Sedan;29;21;68800;Audi A7 2017
Audi;A8;2016;diesel;240.0;6.0;AUTOMATIC;Sedan;36;24;85200;Audi A8 2016
Audi;A8;2017;premium unleaded (required);450.0;8.0;AUTOMATIC;Sedan;29;18;91500;Audi A8 2017
GMC;Acadia Limited;2017;regular unleaded;281.0;6.0;AUTOMATIC;4dr SUV;22;15;43850;GMC Acadia Limited 2017
GMC;Acadia;2015;regular unleaded;281.0;6.0;AUTOMATIC;4dr SUV;24;17;33975;GMC Acadia 2015
