ID_Cliente;Edad;Ingresos_Mensuales_USD;Puntuacion_Gasto;Visitas_Mensuales;Articulos_Comprados;Tiempo_Navegacion_Min;Categoria_Fidelidad
CLIENTE_0110;62;1106.0;82;9;14;35.08;Bronce
CLIENTE_0111;18;482.0;74;3;36;18.03;Bronce
CLIENTE_0112;42;630.0;24;10;15;11.13;Bronce
CLIENTE_0113;24;812.0;4;8;5;11.62;Oro
CLIENTE_0114;26;746.0;37;3;46;38.21;Bronce
CLIENTE_0115;41;1018.0;4;6;48;7.12;Plata
CLIENTE_0116;18;512.0;77;5;15;58.53;Bronce
CLIENTE_0117;61;905.0;89;4;11;59.75;Oro
CLIENTE_0118;25;569.0;77;1;2;13.22;Plata
CLIENTE_0119;41;1036.0;18;3;23;28.5;Bronce
CLIENTE_0120;28;962.0;88;5;24;47.24;Bronce
CLIENTE_0121;68;482.0;66;5;18;57.53;Plata
CLIENTE_0122;34;1276.0;48;7;4;54.02;Bronce
CLIENTE_0123;25;482.0;33;2;15;19.01;Bronce
CLIENTE_0124;52;1080.0;58;4;12;9.69;Bronce
CLIENTE_0125;52;829.0;83;4;3;20.88;Bronce
CLIENTE_0126;50;2004.0;73;4;32;29.05;Bronce
CLIENTE_0127;22;582.0;28;8;36;24.8;Bronce
CLIENTE_0128;59;539.0;35;9;21;47.56;Bronce
CLIENTE_0129;56;657.0;10;6;48;19.18;Oro
CLIENTE_0130;58;555.0;65;3;6;52.23;Oro
CLIENTE_0131;45;1075.0;42;5;2;17.41;Bronce
CLIENTE_0132;24;482.0;85;5;9;24.87;Bronce
CLIENTE_0133;26;482.0;9;4;12;29.63;Oro
CLIENTE_0134;25;482.0;60;3;44;21.02;Plata
CLIENTE_0135;29;1176.0;15;2;24;47.15;Oro
CLIENTE_0136;51;1856.0;99;3;14;27.53;Bronce
CLIENTE_0137;50;625.0;57;3;49;53.79;Bronce
CLIENTE_0138;65;601.0;69;6;41;58.0;Oro
CLIENTE_0139;72;694.0;22;6;12;52.29;Bronce
CLIENTE_0140;40;1336.0;64;2;27;33.74;Plata
CLIENTE_0141;41;482.0;41;2;10;33.04;Plata
CLIENTE_0142;54;767.0;87;3;43;16.87;Oro
CLIENTE_0143;52;1194.0;71;10;2;37.58;Oro
CLIENTE_0144;61;898.0;56;1;31;57.4;Bronce
CLIENTE_0145;57;745.0;23;4;28;9.43;Bronce
CLIENTE_0146;39;1213.0;25;3;16;46.39;Bronce
CLIENTE_0147;44;482.0;91;8;1;52.82;Oro
CLIENTE_0148;52;999.0;6;1;22;59.27;Bronce
CLIENTE_0149;18;482.0;34;8;1;23.41;Bronce
CLIENTE_0150;52;482.0;63;8;31;24.56;Oro
CLIENTE_0151;54;904.0;9;5;22;17.64;Plata
CLIENTE_0152;64;1517.0;60;9;34;48.4;Oro
CLIENTE_0153;31;612.0;49;5;12;12.7;Plata
CLIENTE_0154;20;1178.0;97;10;23;19.73;Bronce
CLIENTE_0155;18;1750.0;51;9;28;21.24;Bronce
CLIENTE_0156;22;1464.0;60;4;12;25.62;Bronce
CLIENTE_0157;43;1779.0;70;5;27;28.19;Bronce
CLIENTE_0158;72;1038.0;37;7;23;35.75;Plata
CLIENTE_0159;31;696.0;31;8;1;57.16;Bronce
CLIENTE_0160;56;482.0;98;4;43;18.6;Bronce
CLIENTE_0161;44;574.0;41;2;2;47.86;Plata
CLIENTE_0162;26;482.0;62;8;44;42.2;Oro
CLIENTE_0163;32;2447.0;93;7;31;11.38;Oro
CLIENTE_0164;32;599.0;58;5;2;49.57;Plata
CLIENTE_0165;43;716.0;14;9;49;9.98;Bronce
CLIENTE_0166;59;926.0;36;8;25;45.64;Oro
CLIENTE_0167;30;683.0;36;6;38;44.37;Plata
CLIENTE_0168;68;1839.0;79;6;48;42.92;Oro
CLIENTE_0169;49;482.0;8;5;19;20.22;Plata
CLIENTE_0170;56;748.0;26;4;28;36.54;Bronce
CLIENTE_0171;66;482.0;36;9;6;46.89;Oro
CLIENTE_0172;69;482.0;48;2;39;40.07;Plata
CLIENTE_0173;49;482.0;85;8;19;49.24;Bronce
CLIENTE_0174;21;651.0;28;5;17;42.83;Bronce
CLIENTE_0175;47;514.0;68;4;6;20.09;Bronce
CLIENTE_0176;54;482.0;62;5;15;13.42;Plata
CLIENTE_0177;40;482.0;80;3;22;39.76;Plata
CLIENTE_0178;56;633.0;86;8;41;46.79;Bronce
CLIENTE_0179;62;482.0;76;7;34;12.83;Oro
CLIENTE_0180;32;1049.0;80;4;5;14.62;Plata
CLIENTE_0181;60;699.0;51;2;23;5.66;Bronce
CLIENTE_0182;46;482.0;42;3;5;34.25;Bronce
CLIENTE_0183;53;553.0;29;2;44;34.83;Oro
CLIENTE_0184;30;482.0;82;7;10;32.5;Bronce
CLIENTE_0185;49;806.0;10;5;4;22.38;Oro
CLIENTE_0186;24;1487.0;39;6;12;28.53;Bronce
CLIENTE_0187;68;482.0;82;2;47;47.14;Bronce
CLIENTE_0188;39;713.0;1;6;10;15.0;Plata
CLIENTE_0189;45;604.0;39;3;30;16.09;Plata
CLIENTE_0190;19;995.0;21;3;24;41.68;Bronce
CLIENTE_0191;59;756.0;65;3;5;52.68;Oro
CLIENTE_0192;62;482.0;15;6;13;23.72;Bronce
CLIENTE_0193;74;549.0;4;5;36;56.3;Oro
CLIENTE_0194;70;482.0;60;8;9;8.17;Plata
CLIENTE_0195;23;1269.0;61;4;18;11.52;Bronce
CLIENTE_0196;45;674.0;20;5;35;30.3;Plata
CLIENTE_0197;45;2081.0;10;5;31;44.79;Oro
CLIENTE_0198;61;641.0;87;7;24;25.4;Plata
CLIENTE_0199;61;482.0;34;6;43;35.51;Plata
CLIENTE_0200;37;482.0;48;1;4;6.57;Bronce
CLIENTE_0201;47;482.0;33;2;41;30.4;Plata
CLIENTE_0202;28;482.0;98;7;26;18.34;Oro
CLIENTE_0203;72;781.0;61;9;44;33.4;Plata
CLIENTE_0204;45;903.0;10;10;42;33.92;Plata
CLIENTE_0205;42;482.0;54;7;10;46.42;Bronce
CLIENTE_0206;56;1138.0;84;7;41;34.69;Oro
CLIENTE_0207;50;498.0;65;2;42;38.78;Bronce
CLIENTE_0208;18;726.0;77;5;9;34.13;Plata
CLIENTE_0209;74;1750.0;1;5;1;59.47;Bronce
CLIENTE_0210;44;1139.0;5;7;16;48.54;Bronce
CLIENTE_0211;74;566.0;80;5;46;46.56;Plata
CLIENTE_0212;69;482.0;15;6;13;39.5;Plata
CLIENTE_0213;30;482.0;28;4;38;34.06;Oro
CLIENTE_0214;58;482.0;95;11;14;23.96;Bronce
CLIENTE_0215;20;586.0;23;5;40;48.12;Bronce
CLIENTE_0216;56;482.0;17;6;23;15.43;Oro
CLIENTE_0217;23;615.0;98;3;18;7.01;Bronce
CLIENTE_0218;25;697.0;13;1;28;43.4;Plata
CLIENTE_0219;44;581.0;14;5;20;12.97;Oro
CLIENTE_0220;26;482.0;11;5;1;54.71;Oro
CLIENTE_0221;54;736.0;28;5;12;47.39;Bronce
CLIENTE_0222;50;867.0;42;6;27;38.12;Plata
CLIENTE_0223;68;482.0;96;1;43;22.27;Plata
CLIENTE_0224;59;1551.0;99;11;13;40.09;Bronce
CLIENTE_0225;61;627.0;61;1;4;31.23;Bronce
CLIENTE_0226;41;673.0;64;5;25;21.01;Oro
CLIENTE_0227;32;1017.0;31;6;6;56.98;Bronce
CLIENTE_0228;71;765.0;81;5;45;13.9;Plata
CLIENTE_0229;49;1178.0;73;5;22;46.44;Plata
CLIENTE_0230;49;790.0;10;3;45;49.0;Bronce
CLIENTE_0231;41;482.0;8;5;38;57.35;Bronce
CLIENTE_0232;58;826.0;21;2;36;35.22;Plata
CLIENTE_0233;69;482.0;77;7;3;34.42;Bronce
CLIENTE_0234;66;710.0;59;6;15;55.62;Plata
CLIENTE_0235;66;652.0;50;5;11;49.06;Bronce
CLIENTE_0236;69;587.0;69;4;34;47.0;Bronce
CLIENTE_0237;29;616.0;70;4;27;48.4;Bronce
CLIENTE_0238;56;482.0;30;6;23;32.12;Bronce
CLIENTE_0239;19;482.0;95;11;17;7.28;Bronce
CLIENTE_0240;20;703.0;17;6;23;15.9;Plata
CLIENTE_0241;66;732.0;75;4;34;40.36;Bronce
CLIENTE_0242;54;482.0;20;0;21;26.79;Bronce
CLIENTE_0243;66;1421.0;48;5;33;38.37;Bronce
CLIENTE_0244;73;482.0;73;3;5;35.34;Plata
CLIENTE_0245;34;1190.0;2;2;17;29.13;Plata
CLIENTE_0246;66;859.0;37;4;1;17.91;Bronce
CLIENTE_0247;19;482.0;1;5;7;44.54;Plata
CLIENTE_0248;19;1930.0;4;8;3;55.0;Plata
CLIENTE_0249;45;482.0;100;2;26;47.35;Bronce
CLIENTE_0250;71;1155.0;54;4;16;11.6;Oro
CLIENTE_0251;40;1212.0;25;9;16;34.59;Bronce
CLIENTE_0252;54;482.0;3;2;44;50.95;Bronce
CLIENTE_0253;49;1534.0;9;5;41;37.5;Plata
CLIENTE_0254;50;572.0;86;6;14;29.18;Bronce
CLIENTE_0255;18;791.0;87;6;44;20.65;Bronce
CLIENTE_0256;36;778.0;76;6;26;23.17;Oro
CLIENTE_0257;19;614.0;74;5;27;18.32;Plata
CLIENTE_0258;70;1082.0;34;5;48;15.76;Bronce
CLIENTE_0259;61;1071.0;43;5;17;37.39;Oro
CLIENTE_0260;43;482.0;74;5;44;33.02;Bronce
CLIENTE_0261;49;1455.0;94;2;4;45.42;Bronce
CLIENTE_0262;23;482.0;22;2;17;21.94;Bronce
CLIENTE_0263;49;1236.0;70;7;33;30.35;Plata
CLIENTE_0264;72;1308.0;2;4;30;42.42;Bronce
CLIENTE_0265;21;482.0;94;5;21;57.98;Plata
CLIENTE_0266;72;520.0;66;2;17;24.19;Bronce
CLIENTE_0267;28;482.0;32;4;11;21.4;Plata
CLIENTE_0268;73;585.0;16;6;30;29.71;Bronce
CLIENTE_0269;34;553.0;76;3;18;44.81;Bronce
CLIENTE_0270;55;1062.0;1;6;20;57.89;Oro
CLIENTE_0271;41;1460.0;72;3;34;34.51;Bronce
CLIENTE_0272;22;1537.0;48;9;41;49.68;Plata
CLIENTE_0273;69;482.0;50;0;28;30.54;Bronce
CLIENTE_0274;51;587.0;13;2;9;7.19;Plata
CLIENTE_0275;23;482.0;15;3;44;54.18;Bronce
CLIENTE_0276;39;482.0;53;9;31;20.94;Plata
CLIENTE_0277;28;1187.0;44;4;45;12.63;Plata
CLIENTE_0278;65;1753.0;8;7;16;59.79;Bronce
CLIENTE_0279;33;482.0;74;6;31;24.11;Bronce
CLIENTE_0280;50;482.0;46;9;29;12.51;Plata
CLIENTE_0281;26;655.0;69;4;13;22.13;Bronce
CLIENTE_0282;23;787.0;19;7;23;33.26;Oro
CLIENTE_0283;33;482.0;38;3;14;9.84;Bronce
CLIENTE_0284;46;858.0;11;5;39;24.39;Bronce
CLIENTE_0285;20;501.0;43;4;2;41.79;Bronce
CLIENTE_0286;37;659.0;20;2;12;55.38;Bronce
CLIENTE_0287;53;923.0;20;1;28;26.86;Bronce
CLIENTE_0288;36;668.0;21;2;32;36.05;Bronce
CLIENTE_0289;43;512.0;82;5;49;39.98;Bronce
CLIENTE_0290;20;623.0;57;5;24;8.89;Bronce
CLIENTE_0291;36;631.0;50;5;37;23.82;Bronce
CLIENTE_0292;37;533.0;74;8;29;42.63;Bronce
CLIENTE_0293;49;569.0;98;6;42;45.46;Bronce
CLIENTE_0294;24;1736.0;26;3;18;24.58;Bronce
CLIENTE_0295;69;931.0;30;3;3;5.37;Plata
CLIENTE_0296;58;557.0;73;5;13;5.38;Plata
CLIENTE_0297;50;1010.0;31;3;13;34.6;Oro
CLIENTE_0298;57;544.0;42;2;42;35.33;Bronce
CLIENTE_0299;56;1345.0;68;6;29;35.56;Bronce
CLIENTE_0300;35;830.0;61;6;2;44.7;Bronce
CLIENTE_0301;57;624.0;61;6;28;55.67;Bronce
CLIENTE_0302;18;870.0;70;6;48;59.46;Oro
CLIENTE_0303;28;482.0;78;7;4;43.56;Bronce
CLIENTE_0304;45;482.0;68;2;5;33.27;Bronce
CLIENTE_0305;74;482.0;90;7;39;12.75;Bronce
CLIENTE_0306;42;725.0;17;4;41;26.13;Oro
CLIENTE_0307;67;1881.0;19;5;5;36.49;Plata
CLIENTE_0308;40;2537.0;51;5;8;59.99;Bronce
CLIENTE_0309;48;975.0;70;5;34;11.98;Oro
CLIENTE_0310;47;898.0;63;4;25;48.62;Oro
CLIENTE_0311;59;482.0;93;4;27;59.94;Bronce
CLIENTE_0312;52;482.0;75;3;7;49.29;Bronce
CLIENTE_0313;24;482.0;80;3;36;47.19;Bronce
CLIENTE_0314;33;482.0;30;7;32;19.23;Plata
CLIENTE_0315;43;601.0;25;5;21;5.18;Bronce
CLIENTE_0316;65;501.0;75;4;47;17.43;Oro
CLIENTE_0317;74;482.0;71;9;18;48.44;Bronce
CLIENTE_0318;69;1042.0;26;5;2;10.9;Oro
CLIENTE_0319;66;482.0;56;5;46;21.29;Plata
CLIENTE_0320;19;768.0;22;6;42;35.94;Plata
CLIENTE_0321;18;2309.0;89;6;5;36.89;Bronce
CLIENTE_0322;65;482.0;19;6;44;34.86;Oro
CLIENTE_0323;29;482.0;31;4;42;58.95;Plata
CLIENTE_0324;22;560.0;26;3;38;5.68;Plata
CLIENTE_0325;54;1288.0;42;4;28;31.82;Bronce
CLIENTE_0326;49;2154.0;41;5;31;32.74;Oro
CLIENTE_0327;72;482.0;100;2;44;21.13;Bronce
CLIENTE_0328;26;896.0;23;6;24;33.88;Oro
CLIENTE_0329;58;503.0;47;0;33;42.03;Bronce
CLIENTE_0330;52;624.0;13;9;39;42.0;Plata
CLIENTE_0331;36;3251.0;89;3;12;9.83;Oro
CLIENTE_0332;65;482.0;66;10;39;49.14;Bronce
CLIENTE_0333;33;775.0;66;4;9;56.19;Plata
CLIENTE_0334;20;881.0;16;4;15;11.8;Bronce
CLIENTE_0335;37;1276.0;73;7;23;27.92;Bronce
CLIENTE_0336;41;705.0;28;5;44;33.15;Plata
CLIENTE_0337;71;800.0;77;4;45;12.42;Bronce
CLIENTE_0338;73;526.0;35;10;22;32.69;Bronce
CLIENTE_0339;50;782.0;41;5;36;16.38;Bronce
CLIENTE_0340;41;541.0;77;7;10;56.44;Bronce
CLIENTE_0341;69;966.0;31;3;28;29.67;Plata
CLIENTE_0342;28;533.0;85;4;35;59.72;Bronce
CLIENTE_0343;66;834.0;32;3;29;7.56;Plata
CLIENTE_0344;25;654.0;54;2;5;12.02;Bronce
CLIENTE_0345;53;1307.0;98;3;4;29.38;Bronce
CLIENTE_0346;55;645.0;72;6;15;53.09;Bronce
CLIENTE_0347;57;482.0;59;7;30;35.54;Bronce
CLIENTE_0348;37;1418.0;41;5;26;45.28;Bronce
CLIENTE_0349;52;482.0;66;3;23;28.3;Bronce
CLIENTE_0350;65;482.0;96;3;39;7.23;Bronce
CLIENTE_0351;42;482.0;54;7;29;40.63;Bronce
CLIENTE_0352;52;1517.0;40;3;22;39.87;Bronce
CLIENTE_0353;42;482.0;28;4;35;8.93;Plata
CLIENTE_0354;46;4371.0;37;7;48;14.4;Plata
CLIENTE_0355;35;1253.0;65;4;47;31.19;Bronce
CLIENTE_0356;63;760.0;74;2;18;29.57;Bronce
CLIENTE_0357;35;644.0;55;3;35;46.38;Bronce
CLIENTE_0358;19;789.0;4;2;46;26.31;Plata
CLIENTE_0359;71;909.0;99;8;33;41.48;Plata
CLIENTE_0360;52;980.0;10;6;7;43.74;Bronce
CLIENTE_0361;33;928.0;47;12;34;40.48;Bronce
CLIENTE_0362;58;702.0;75;4;10;37.79;Oro
CLIENTE_0363;53;591.0;14;3;24;49.31;Bronce
CLIENTE_0364;50;607.0;38;1;25;41.14;Bronce
CLIENTE_0365;21;592.0;12;6;48;50.88;Bronce
CLIENTE_0366;50;1313.0;45;2;44;40.02;Bronce
CLIENTE_0367;31;950.0;17;4;27;13.74;Bronce
CLIENTE_0368;38;482.0;80;4;6;22.02;Bronce
CLIENTE_0369;65;986.0;35;5;49;23.17;Plata
CLIENTE_0370;37;748.0;66;4;8;10.17;Bronce
CLIENTE_0371;73;658.0;75;5;21;43.08;Oro
CLIENTE_0372;25;527.0;41;7;41;37.73;Bronce
CLIENTE_0373;24;1306.0;67;6;19;37.44;Plata
CLIENTE_0374;20;1174.0;29;4;34;31.32;Bronce
CLIENTE_0375;34;482.0;18;5;39;34.87;Bronce
CLIENTE_0376;50;849.0;20;3;43;5.44;Oro
CLIENTE_0377;65;482.0;14;1;23;10.29;Bronce
CLIENTE_0378;29;482.0;34;4;13;42.58;Oro
CLIENTE_0379;68;482.0;49;5;42;19.38;Plata
CLIENTE_0380;39;1116.0;54;6;47;10.94;Plata
CLIENTE_0381;72;1178.0;31;4;39;23.08;Bronce
CLIENTE_0382;39;905.0;58;5;28;19.0;Plata
CLIENTE_0383;63;1028.0;42;7;6;6.62;Bronce
CLIENTE_0384;47;907.0;58;5;12;27.58;Oro
CLIENTE_0385;55;482.0;82;5;3;6.49;Plata
CLIENTE_0386;55;862.0;30;9;48;5.02;Bronce
CLIENTE_0387;62;1075.0;25;3;20;48.59;Oro
CLIENTE_0388;68;1046.0;63;5;41;22.32;Bronce
CLIENTE_0389;71;1357.0;19;3;42;36.22;Oro
CLIENTE_0390;25;1017.0;72;5;45;21.38;Plata
CLIENTE_0391;44;821.0;92;4;8;56.15;Bronce
CLIENTE_0392;44;1264.0;8;3;26;45.1;Plata
CLIENTE_0393;51;655.0;95;7;38;25.3;Plata
CLIENTE_0394;38;482.0;3;5;28;16.58;Plata
CLIENTE_0395;47;603.0;67;3;35;12.58;Bronce
CLIENTE_0396;50;482.0;86;3;44;46.93;Bronce
CLIENTE_0397;45;482.0;81;6;41;29.92;Bronce
CLIENTE_0398;64;610.0;100;7;41;17.76;Oro
CLIENTE_0399;50;482.0;17;7;43;55.58;Bronce
CLIENTE_0400;22;553.0;14;4;38;26.46;Oro
CLIENTE_0401;65;482.0;9;4;2;34.89;Bronce
CLIENTE_0402;36;756.0;62;1;7;52.18;Bronce
CLIENTE_0403;21;666.0;94;4;41;50.84;Bronce
CLIENTE_0404;52;482.0;21;3;25;40.09;Oro
CLIENTE_0405;66;988.0;76;2;32;53.87;Bronce
CLIENTE_0406;34;1167.0;37;6;12;57.37;Bronce
CLIENTE_0407;61;482.0;96;2;11;56.43;Oro
CLIENTE_0408;45;482.0;11;6;10;24.2;Plata
CLIENTE_0409;47;482.0;20;6;35;26.84;Oro
CLIENTE_0410;46;482.0;35;6;44;18.23;Oro
CLIENTE_0411;63;1094.0;53;6;4;51.03;Oro
CLIENTE_0412;70;592.0;47;6;42;11.7;Plata
CLIENTE_0413;23;568.0;75;5;2;24.53;Plata
CLIENTE_0414;52;482.0;52;7;44;5.54;Plata
CLIENTE_0415;58;974.0;8;7;28;37.71;Bronce
CLIENTE_0416;54;482.0;4;9;43;41.21;Plata
CLIENTE_0417;41;689.0;27;5;46;18.69;Bronce
CLIENTE_0418;46;786.0;44;4;47;45.52;Oro
CLIENTE_0419;66;1505.0;40;7;14;25.98;Plata
CLIENTE_0420;63;482.0;47;5;44;22.14;Oro
CLIENTE_0421;70;482.0;94;5;29;57.59;Bronce
CLIENTE_0422;48;743.0;44;4;2;37.38;Plata
CLIENTE_0423;52;1959.0;48;9;34;18.88;Plata
CLIENTE_0424;50;1399.0;91;5;33;59.08;Oro
CLIENTE_0425;69;754.0;85;6;20;26.32;Bronce
CLIENTE_0426;38;495.0;52;0;47;40.63;Bronce
CLIENTE_0427;49;1080.0;84;6;30;44.81;Plata
CLIENTE_0428;40;482.0;68;8;42;28.23;Plata
CLIENTE_0429;50;885.0;11;4;26;34.48;Bronce
CLIENTE_0430;20;901.0;77;6;20;18.19;Oro
CLIENTE_0431;35;1257.0;73;3;1;30.62;Bronce
CLIENTE_0432;42;3484.0;4;3;1;22.09;Plata
CLIENTE_0433;59;842.0;76;7;25;35.11;Bronce
CLIENTE_0434;48;490.0;73;4;33;41.84;Bronce
CLIENTE_0435;71;655.0;77;2;23;38.77;Oro
CLIENTE_0436;20;482.0;48;1;11;47.72;Bronce
CLIENTE_0437;57;482.0;26;7;44;7.28;Oro
CLIENTE_0438;63;520.0;77;2;15;9.32;Oro
CLIENTE_0439;41;486.0;39;5;14;16.29;Oro
CLIENTE_0440;67;729.0;92;6;1;59.22;Bronce
CLIENTE_0441;49;482.0;58;7;33;49.01;Oro
CLIENTE_0442;64;1303.0;19;5;6;55.83;Bronce
CLIENTE_0443;39;665.0;88;5;23;19.96;Bronce
CLIENTE_0444;40;661.0;83;8;26;36.56;Bronce
CLIENTE_0445;19;546.0;77;5;3;35.52;Bronce
CLIENTE_0446;44;730.0;77;6;46;36.32;Oro
CLIENTE_0447;59;1091.0;58;3;6;44.47;Plata
CLIENTE_0448;19;482.0;28;9;40;26.67;Oro
CLIENTE_0449;43;482.0;66;5;25;42.25;Bronce
